name,version,packagePath,dependencyType,scope,licenseSource,hasLicense,licenseIsComplex,needsManualReview,issues,licenseRaw
@esbuild/win32-x64,0.25.12,node_modules/@esbuild/win32-x64,direct,dev,license,true,false,false,,MIT
@jridgewell/gen-mapping,0.3.13,node_modules/@jridgewell/gen-mapping,direct,dev,license,true,false,false,,MIT
@jridgewell/remapping,2.3.5,node_modules/@jridgewell/remapping,direct,dev,license,true,false,false,,MIT
@jridgewell/resolve-uri,3.1.2,node_modules/@jridgewell/resolve-uri,direct,dev,license,true,false,false,,MIT
@jridgewell/sourcemap-codec,1.5.5,node_modules/@jridgewell/sourcemap-codec,direct,dev,license,true,false,false,,MIT
@jridgewell/trace-mapping,0.3.31,node_modules/@jridgewell/trace-mapping,direct,dev,license,true,false,false,,MIT
@noble/ciphers,1.3.0,node_modules/@noble/ciphers,direct,dev,license,true,false,false,,MIT
@noble/curves,1.9.7,node_modules/@noble/curves,direct,dev,license,true,false,false,,MIT
@noble/hashes,1.8.0,node_modules/@noble/hashes,direct,dev,license,true,false,false,,MIT
@playwright/test,1.62.1,node_modules/@playwright/test,direct,dev,license,true,false,false,,Apache-2.0
@rolldown/pluginutils,1.0.0-beta.27,node_modules/@rolldown/pluginutils,direct,dev,license,true,false,false,,MIT
@rollup/rollup-android-arm-eabi,4.62.2,node_modules/@rollup/rollup-android-arm-eabi,direct,dev,license,true,false,false,,MIT
@rollup/rollup-android-arm64,4.62.2,node_modules/@rollup/rollup-android-arm64,direct,dev,license,true,false,false,,MIT
@rollup/rollup-darwin-arm64,4.62.2,node_modules/@rollup/rollup-darwin-arm64,direct,dev,license,true,false,false,,MIT
@rollup/rollup-darwin-x64,4.62.2,node_modules/@rollup/rollup-darwin-x64,direct,dev,license,true,false,false,,MIT
@rollup/rollup-freebsd-arm64,4.62.2,node_modules/@rollup/rollup-freebsd-arm64,direct,dev,license,true,false,false,,MIT
@rollup/rollup-freebsd-x64,4.62.2,node_modules/@rollup/rollup-freebsd-x64,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-arm-gnueabihf,4.62.2,node_modules/@rollup/rollup-linux-arm-gnueabihf,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-arm-musleabihf,4.62.2,node_modules/@rollup/rollup-linux-arm-musleabihf,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-arm64-gnu,4.62.2,node_modules/@rollup/rollup-linux-arm64-gnu,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-arm64-musl,4.62.2,node_modules/@rollup/rollup-linux-arm64-musl,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-loong64-gnu,4.62.2,node_modules/@rollup/rollup-linux-loong64-gnu,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-loong64-musl,4.62.2,node_modules/@rollup/rollup-linux-loong64-musl,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-ppc64-gnu,4.62.2,node_modules/@rollup/rollup-linux-ppc64-gnu,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-ppc64-musl,4.62.2,node_modules/@rollup/rollup-linux-ppc64-musl,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-riscv64-gnu,4.62.2,node_modules/@rollup/rollup-linux-riscv64-gnu,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-riscv64-musl,4.62.2,node_modules/@rollup/rollup-linux-riscv64-musl,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-s390x-gnu,4.62.2,node_modules/@rollup/rollup-linux-s390x-gnu,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-x64-gnu,4.62.2,node_modules/@rollup/rollup-linux-x64-gnu,direct,dev,license,true,false,false,,MIT
@rollup/rollup-linux-x64-musl,4.62.2,node_modules/@rollup/rollup-linux-x64-musl,direct,dev,license,true,false,false,,MIT
@rollup/rollup-openbsd-x64,4.62.2,node_modules/@rollup/rollup-openbsd-x64,direct,dev,license,true,false,false,,MIT
@rollup/rollup-openharmony-arm64,4.62.2,node_modules/@rollup/rollup-openharmony-arm64,direct,dev,license,true,false,false,,MIT
@rollup/rollup-win32-arm64-msvc,4.62.2,node_modules/@rollup/rollup-win32-arm64-msvc,direct,dev,license,true,false,false,,MIT
@rollup/rollup-win32-ia32-msvc,4.62.2,node_modules/@rollup/rollup-win32-ia32-msvc,direct,dev,license,true,false,false,,MIT
@rollup/rollup-win32-x64-gnu,4.62.2,node_modules/@rollup/rollup-win32-x64-gnu,direct,dev,license,true,false,false,,MIT
@rollup/rollup-win32-x64-msvc,4.62.2,node_modules/@rollup/rollup-win32-x64-msvc,direct,dev,license,true,false,false,,MIT
@supabase/auth-js,2.110.8,node_modules/@supabase/auth-js,direct,dev,license,true,false,false,,MIT
@supabase/cli-darwin-arm64,2.109.1,node_modules/@supabase/cli-darwin-arm64,direct,dev,license,true,false,false,,MIT
@supabase/cli-darwin-x64,2.109.1,node_modules/@supabase/cli-darwin-x64,direct,dev,license,true,false,false,,MIT
@supabase/cli-linux-arm64,2.109.1,node_modules/@supabase/cli-linux-arm64,direct,dev,license,true,false,false,,MIT
@supabase/cli-linux-arm64-musl,2.109.1,node_modules/@supabase/cli-linux-arm64-musl,direct,dev,license,true,false,false,,MIT
@supabase/cli-linux-x64,2.109.1,node_modules/@supabase/cli-linux-x64,direct,dev,license,true,false,false,,MIT
@supabase/cli-linux-x64-musl,2.109.1,node_modules/@supabase/cli-linux-x64-musl,direct,dev,license,true,false,false,,MIT
@supabase/cli-windows-arm64,2.109.1,node_modules/@supabase/cli-windows-arm64,direct,dev,license,true,false,false,,MIT
@supabase/cli-windows-x64,2.109.1,node_modules/@supabase/cli-windows-x64,direct,dev,license,true,false,false,,MIT
@supabase/functions-js,2.110.8,node_modules/@supabase/functions-js,direct,dev,license,true,false,false,,MIT
@supabase/phoenix,0.4.5,node_modules/@supabase/phoenix,direct,dev,license,true,false,false,,MIT
@supabase/postgrest-js,2.110.8,node_modules/@supabase/postgrest-js,direct,dev,license,true,false,false,,MIT
@supabase/realtime-js,2.110.8,node_modules/@supabase/realtime-js,direct,dev,license,true,false,false,,MIT
@supabase/storage-js,2.110.8,node_modules/@supabase/storage-js,direct,dev,license,true,false,false,,MIT
@supabase/supabase-js,2.110.8,node_modules/@supabase/supabase-js,direct,dev,license,true,false,false,,MIT
@types/babel__core,7.20.5,node_modules/@types/babel__core,direct,dev,license,true,false,false,,MIT
@types/babel__generator,7.27.0,node_modules/@types/babel__generator,direct,dev,license,true,false,false,,MIT
@types/babel__template,7.4.4,node_modules/@types/babel__template,direct,dev,license,true,false,false,,MIT
@types/babel__traverse,7.28.0,node_modules/@types/babel__traverse,direct,dev,license,true,false,false,,MIT
@types/estree,1.0.9,node_modules/@types/estree,direct,dev,license,true,false,false,,MIT
@vitejs/plugin-react,4.7.0,node_modules/@vitejs/plugin-react,direct,dev,license,true,false,false,,MIT
agent-base,7.1.4,node_modules/agent-base,direct,dev,license,true,false,false,,MIT
asynckit,0.4.0,node_modules/asynckit,direct,dev,license,true,false,false,,MIT
baseline-browser-mapping,2.10.43,node_modules/baseline-browser-mapping,direct,dev,license,true,false,false,,Apache-2.0
braces,3.0.3,node_modules/braces,direct,dev,license,true,false,false,,MIT
browserslist,4.28.6,node_modules/browserslist,direct,dev,license,true,false,false,,MIT
call-bind-apply-helpers,1.0.2,node_modules/call-bind-apply-helpers,direct,dev,license,true,false,false,,MIT
caniuse-lite,1.0.30001806,node_modules/caniuse-lite,direct,dev,license,true,false,false,,CC-BY-4.0
combined-stream,1.0.8,node_modules/combined-stream,direct,dev,license,true,false,false,,MIT
convert-source-map,2.0.0,node_modules/convert-source-map,direct,dev,license,true,false,false,,MIT
cssstyle,4.6.0,node_modules/cssstyle,direct,dev,license,true,false,false,,MIT
data-urls,5.0.0,node_modules/data-urls,direct,dev,license,true,false,false,,MIT
debug,4.4.3,node_modules/debug,direct,dev,license,true,false,false,,MIT
decimal.js,10.6.0,node_modules/decimal.js,direct,dev,license,true,false,false,,MIT
delayed-stream,1.0.0,node_modules/delayed-stream,direct,dev,license,true,false,false,,MIT
deno,2.9.4,node_modules/deno,direct,dev,license,true,false,false,,MIT
dunder-proto,1.0.1,node_modules/dunder-proto,direct,dev,license,true,false,false,,MIT
eciesjs,0.5.0,node_modules/eciesjs,direct,dev,license,true,false,false,,MIT
electron-to-chromium,1.5.393,node_modules/electron-to-chromium,direct,dev,license,true,false,false,,ISC
entities,6.0.1,node_modules/entities,direct,dev,license,true,false,false,,BSD-2-Clause
es-define-property,1.0.1,node_modules/es-define-property,direct,dev,license,true,false,false,,MIT
es-errors,1.3.0,node_modules/es-errors,direct,dev,license,true,false,false,,MIT
es-object-atoms,1.1.2,node_modules/es-object-atoms,direct,dev,license,true,false,false,,MIT
es-set-tostringtag,2.1.0,node_modules/es-set-tostringtag,direct,dev,license,true,false,false,,MIT
esbuild,0.25.12,node_modules/esbuild,direct,dev,license,true,false,false,,MIT
escalade,3.2.0,node_modules/escalade,direct,dev,license,true,false,false,,MIT
fdir,6.5.0,node_modules/fdir,direct,dev,license,true,false,false,,MIT
fill-range,7.1.1,node_modules/fill-range,direct,dev,license,true,false,false,,MIT
form-data,4.0.6,node_modules/form-data,direct,dev,license,true,false,false,,MIT
fsevents,2.3.2,node_modules/playwright/node_modules/fsevents,transitive,dev,license,true,false,false,,MIT
fsevents,2.3.3,node_modules/fsevents,direct,dev,license,true,false,false,,MIT
function-bind,1.1.2,node_modules/function-bind,direct,dev,license,true,false,false,,MIT
gensync,1.0.0-beta.2,node_modules/gensync,direct,dev,license,true,false,false,,MIT
get-intrinsic,1.3.0,node_modules/get-intrinsic,direct,dev,license,true,false,false,,MIT
get-proto,1.0.1,node_modules/get-proto,direct,dev,license,true,false,false,,MIT
gopd,1.2.0,node_modules/gopd,direct,dev,license,true,false,false,,MIT
has-symbols,1.1.0,node_modules/has-symbols,direct,dev,license,true,false,false,,MIT
has-tostringtag,1.0.2,node_modules/has-tostringtag,direct,dev,license,true,false,false,,MIT
hasown,2.0.4,node_modules/hasown,direct,dev,license,true,false,false,,MIT
html-encoding-sniffer,4.0.0,node_modules/html-encoding-sniffer,direct,dev,license,true,false,false,,MIT
http-proxy-agent,7.0.2,node_modules/http-proxy-agent,direct,dev,license,true,false,false,,MIT
https-proxy-agent,7.0.6,node_modules/https-proxy-agent,direct,dev,license,true,false,false,,MIT
iceberg-js,0.8.1,node_modules/iceberg-js,direct,dev,license,true,false,false,,MIT
iconv-lite,0.6.3,node_modules/iconv-lite,direct,dev,license,true,false,false,,MIT
is-number,7.0.0,node_modules/is-number,direct,dev,license,true,false,false,,MIT
is-potential-custom-element-name,1.0.1,node_modules/is-potential-custom-element-name,direct,dev,license,true,false,false,,MIT
jose,6.2.4,node_modules/jose,direct,dev,license,true,false,false,,MIT
js-tokens,4.0.0,node_modules/js-tokens,direct,dev,license,true,false,false,,MIT
jsdom,25.0.1,node_modules/jsdom,direct,dev,license,true,false,false,,MIT
jsesc,3.1.0,node_modules/jsesc,direct,dev,license,true,false,false,,MIT
json5,2.2.3,node_modules/json5,direct,dev,license,true,false,false,,MIT
lru-cache,5.1.1,node_modules/lru-cache,direct,dev,license,true,false,false,,ISC
lru-cache,10.4.3,node_modules/@asamuzakjp/css-color/node_modules/lru-cache,transitive,dev,license,true,false,false,,ISC
math-intrinsics,1.1.0,node_modules/math-intrinsics,direct,dev,license,true,false,false,,MIT
micromatch,4.0.8,node_modules/micromatch,direct,dev,license,true,false,false,,MIT
mime-db,1.52.0,node_modules/mime-db,direct,dev,license,true,false,false,,MIT
mime-types,2.1.35,node_modules/mime-types,direct,dev,license,true,false,false,,MIT
ms,2.1.3,node_modules/ms,direct,dev,license,true,false,false,,MIT
nanoid,3.3.16,node_modules/nanoid,direct,dev,license,true,false,false,,MIT
node-releases,2.0.51,node_modules/node-releases,direct,dev,license,true,false,false,,MIT
nwsapi,2.2.24,node_modules/nwsapi,direct,dev,license,true,false,false,,MIT
parse5,7.3.0,node_modules/parse5,direct,dev,license,true,false,false,,MIT
picocolors,1.1.1,node_modules/picocolors,direct,dev,license,true,false,false,,ISC
picomatch,2.3.2,node_modules/micromatch/node_modules/picomatch,transitive,dev,license,true,false,false,,MIT
picomatch,4.0.5,node_modules/picomatch,direct,dev,license,true,false,false,,MIT
playwright,1.62.1,node_modules/playwright,direct,dev,license,true,false,false,,Apache-2.0
playwright-core,1.62.1,node_modules/playwright-core,direct,dev,license,true,false,false,,Apache-2.0
postcss,8.5.25,node_modules/postcss,direct,dev,license,true,false,false,,MIT
punycode,2.3.1,node_modules/punycode,direct,dev,license,true,false,false,,MIT
react,19.2.7,node_modules/react,direct,prod,license,true,false,false,,MIT
react-dom,19.2.7,node_modules/react-dom,direct,prod,license,true,false,false,,MIT
react-refresh,0.17.0,node_modules/react-refresh,direct,dev,license,true,false,false,,MIT
rollup,4.62.2,node_modules/rollup,direct,dev,license,true,false,false,,MIT
rrweb-cssom,0.7.1,node_modules/rrweb-cssom,direct,dev,license,true,false,false,,MIT
rrweb-cssom,0.8.0,node_modules/cssstyle/node_modules/rrweb-cssom,transitive,dev,license,true,false,false,,MIT
safer-buffer,2.1.2,node_modules/safer-buffer,direct,dev,license,true,false,false,,MIT
saxes,6.0.0,node_modules/saxes,direct,dev,license,true,false,false,,ISC
